Success/Failure,Starting Confidence,Final Confidence,Iterations,SNR,Starting Class,Final Class,Queries
Failure,1.0,-0.3032695287838578,20,inf,6,6,200
Success,0.9814221858978271,0.19927842915058136,1,0.2063747115602214,5,4,10
Failure,0.9885358214378357,-0.12968482077121735,20,inf,0,0,200
Success,1.0,0.6355859041213989,1,0.24838682256363454,4,7,10
Failure,1.0,-0.17712966538965702,20,inf,7,7,200
Failure,0.9937979578971863,-0.17517394199967384,20,inf,0,0,200
Failure,1.0,-0.10809078067541122,20,inf,8,8,200
Failure,0.9912567138671875,-0.06904619932174683,20,inf,9,9,200
Success,0.9571014046669006,0.7406261563301086,1,0.3929519261034693,4,3,10
Failure,1.0,-0.06934897601604462,20,inf,8,8,200
Failure,0.9999880790710449,-0.0695909708738327,20,inf,7,7,200
Failure,1.0,-0.10342328250408173,20,inf,9,9,200
Failure,1.0,-0.11262676864862442,20,inf,9,9,200
Success,1.0,0.19546738266944885,1,0.19815286429762657,0,7,10
Failure,0.8892050981521606,-0.1335403174161911,20,inf,4,4,200
Success,1.0,0.19967254996299744,1,0.17904971879863837,9,7,10
Failure,1.0,-0.10302723944187164,20,inf,2,2,200
Failure,0.9999998807907104,-0.06828328967094421,20,inf,9,9,200
Failure,0.9999978542327881,-0.1662021540105343,20,inf,2,2,200
Failure,1.0,-0.397190616466105,20,inf,6,6,200
Failure,1.0,-0.11147673428058624,20,inf,7,7,200
Failure,1.0,-0.0017473995685577393,20,inf,7,7,200
Failure,1.0,-0.3441634625196457,20,inf,6,6,200
Failure,0.705722987651825,-0.13170284777879715,20,inf,0,0,200
Failure,0.9999986886978149,-0.139812383800745,20,inf,9,9,200
Failure,0.968312680721283,-0.13003244996070862,20,inf,2,2,200
Success,0.9669637680053711,0.19786006212234497,1,0.2033318965078805,8,4,10
Failure,1.0,-0.16427802294492722,20,inf,2,2,200
Failure,1.0,-0.1134716123342514,20,inf,2,2,200
Failure,1.0,-0.09150200337171555,20,inf,9,9,200
Failure,1.0,-0.17641054652631283,20,inf,1,1,200
Failure,1.0,-0.16330739855766296,20,inf,2,2,200
Failure,1.0,-0.3879411958719743,20,inf,1,1,200
Failure,1.0,-0.562925786461216,20,inf,1,1,200
Failure,1.0,-0.4284759438409296,20,inf,6,6,200
Failure,0.9999903440475464,-0.35534243455890646,20,inf,7,7,200
Success,1.0,0.19911880791187286,1,0.17991242843522867,8,7,10
Failure,0.6761598587036133,-0.12854308634996414,20,inf,0,0,200
Failure,0.9998382329940796,-0.13679645955562592,20,inf,9,9,200
Success,1.0,0.1988159567117691,1,0.1847005843013793,9,7,10
Success,1.0,0.6896405220031738,1,0.2727398035945353,1,3,10
Failure,1.0,-0.06838919222354889,20,inf,8,8,200
Failure,0.9999997615814209,-0.06990118324756622,20,inf,3,3,200
Failure,1.0,-0.3752392828464508,20,inf,1,1,200
Success,1.0,0.38373711705207825,1,0.269953965816173,4,6,10
Failure,1.0,-0.16169825941324234,20,inf,0,0,200
Failure,1.0,-0.15987838432192802,20,inf,7,7,200
Success,0.8338615298271179,0.633202850818634,1,33.45343095117147,8,3,10
Failure,1.0,-0.10923629254102707,20,inf,0,0,200
Failure,1.0,-0.003671899437904358,20,inf,1,1,200
